stations_name,equivalent_date_last_yr,type,am_peak,midday,pm_peak,env,sum
Waterfront,"1/20/2009,Tue",Exit,"1,135",313,437,851,"2,736"
West Falls Church,"1/20/2009,Tue",Entry,"10,644","2,163",909,532,"14,248"
West Falls Church,"1/20/2009,Tue",Exit,505,"3,080","6,266","2,232","12,083"
West Hyattsville,"1/20/2009,Tue",Entry,"2,540","1,048",346,219,"4,153"
West Hyattsville,"1/20/2009,Tue",Exit,164,"1,073","1,679",770,"3,686"
Wheaton,"1/20/2009,Tue",Entry,"4,113","1,198",534,393,"6,238"
Wheaton,"1/20/2009,Tue",Exit,249,"1,742","1,878","1,130","4,999"
White Flint,"1/20/2009,Tue",Entry,"2,876",675,352,248,"4,151"
White Flint,"1/20/2009,Tue",Exit,215,983,729,523,"2,450"
Wiehle Ave,"1/20/2009,Tue",Entry,NA,NA,NA,NA,NA
Wiehle Ave,"1/20/2009,Tue",Exit,NA,NA,NA,NA,NA
Woodley Park/Zoo,"1/20/2009,Tue",Entry,"5,056","1,738","2,367","3,148","12,309"
Woodley Park/Zoo,"1/20/2009,Tue",Exit,886,"3,284","4,165","3,706","12,041"
SYSTEMWIDE TOTAL,"1/20/2009,Tue",Entry,"445,175","290,726","238,849","128,802","1,103,552"
SYSTEMWIDE TOTAL,"1/20/2009,Tue",Exit,"263,865","252,376","206,571","145,877","868,689"
