event_name,date,day,station,type,am_peak,midday,pm_peak,env,sum
2009 Inauguration,1/20/2009,Tue,SYSTEMWIDE TOTAL,Entry,445175.0,290726.0,238849.0,128802.0,1103552.0
2009 Inauguration,1/20/2009,Tue,SYSTEMWIDE TOTAL,Exit,263865.0,252376.0,206571.0,145877.0,868689.0
2017 Inauguration,1/20/2017,Fri,SYSTEMWIDE TOTAL,Entry,152138.0,187133.0,158393.0,72893.0,570557.0
2017 Inauguration,1/20/2017,Fri,SYSTEMWIDE TOTAL,Exit,133477.0,189043.0,157869.0,86865.0,567254.0
2017 Women's March,1/21/2017,Sat,SYSTEMWIDE TOTAL,Entry,254742.0,358173.0,321502.0,67816.0,1002233.0
2017 Women's March,1/21/2017,Sat,SYSTEMWIDE TOTAL,Exit,143078.0,370869.0,349864.0,96425.0,960236.0
