event_name,date,day,station,type,am_peak,midday,pm_peak,env,sum
2009 Inauguration,1/20/2009,Tue,Federal Triangle,Entry,3.0,92.0,8015.0,2458.0,10568.0
2009 Inauguration,1/20/2009,Tue,Federal Triangle,Exit,27785.0,14902.0,864.0,1542.0,45093.0
2009 Inauguration,1/20/2009,Tue,Foggy Bottom,Entry,6102.0,10398.0,7336.0,5388.0,29224.0
2009 Inauguration,1/20/2009,Tue,Foggy Bottom,Exit,7412.0,7660.0,2686.0,3111.0,20869.0
2009 Inauguration,1/20/2009,Tue,Forest Glen,Entry,3163.0,613.0,254.0,223.0,4253.0
2009 Inauguration,1/20/2009,Tue,Forest Glen,Exit,93.0,1078.0,1369.0,689.0,3229.0
2009 Inauguration,1/20/2009,Tue,Fort Totten Red,Entry,6182.0,2156.0,967.0,762.0,10067.0
2009 Inauguration,1/20/2009,Tue,Fort Totten Red,Exit,531.0,2923.0,2903.0,1910.0,8267.0
2009 Inauguration,1/20/2009,Tue,Franconia-Springfield,Entry,19643.0,4750.0,971.0,609.0,25973.0
2009 Inauguration,1/20/2009,Tue,Franconia-Springfield,Exit,227.0,2498.0,2284.0,4169.0,9178.0
2009 Inauguration,1/20/2009,Tue,Friendship Heights,Entry,6995.0,1971.0,1782.0,1312.0,12060.0
2009 Inauguration,1/20/2009,Tue,Friendship Heights,Exit,694.0,3674.0,5001.0,1900.0,11269.0
2009 Inauguration,1/20/2009,Tue,Gallery Place,Entry,3842.0,16376.0,16177.0,20321.0,56716.0
2009 Inauguration,1/20/2009,Tue,Gallery Place,Exit,35385.0,15091.0,6995.0,9566.0,67037.0
2009 Inauguration,1/20/2009,Tue,Georgia Ave-Petworth,Entry,3907.0,1456.0,868.0,768.0,6999.0
2009 Inauguration,1/20/2009,Tue,Georgia Ave-Petworth,Exit,288.0,1540.0,2253.0,1428.0,5509.0
2009 Inauguration,1/20/2009,Tue,Glenmont,Entry,10209.0,1550.0,443.0,362.0,12564.0
2009 Inauguration,1/20/2009,Tue,Glenmont,Exit,226.0,2906.0,3474.0,1649.0,8255.0
2009 Inauguration,1/20/2009,Tue,Greenbelt,Entry,18657.0,2984.0,950.0,746.0,23337.0
2009 Inauguration,1/20/2009,Tue,Greenbelt,Exit,116.0,1626.0,4310.0,2471.0,8523.0
2009 Inauguration,1/20/2009,Tue,Greensboro,Entry,,,,,
2009 Inauguration,1/20/2009,Tue,Greensboro,Exit,,,,,
2009 Inauguration,1/20/2009,Tue,Grosvenor,Entry,5343.0,1063.0,500.0,424.0,7330.0
2009 Inauguration,1/20/2009,Tue,Grosvenor,Exit,168.0,2051.0,3645.0,1407.0,7271.0
2009 Inauguration,1/20/2009,Tue,Huntington,Entry,10672.0,2114.0,832.0,547.0,14165.0
2009 Inauguration,1/20/2009,Tue,Huntington,Exit,406.0,3798.0,5272.0,2256.0,11732.0
2009 Inauguration,1/20/2009,Tue,Judiciary Square,Entry,857.0,7114.0,1852.0,2.0,9825.0
2009 Inauguration,1/20/2009,Tue,Judiciary Square,Exit,6359.0,2848.0,119.0,4.0,9330.0
2009 Inauguration,1/20/2009,Tue,King Street,Entry,8047.0,2579.0,1282.0,953.0,12861.0
2009 Inauguration,1/20/2009,Tue,King Street,Exit,592.0,3596.0,4393.0,2278.0,10859.0
2009 Inauguration,1/20/2009,Tue,L'Enfant Plaza,Entry,693.0,26421.0,25393.0,3397.0,55904.0
2009 Inauguration,1/20/2009,Tue,L'Enfant Plaza,Exit,45866.0,11017.0,1785.0,1673.0,60341.0
2009 Inauguration,1/20/2009,Tue,Landover,Entry,3432.0,974.0,144.0,107.0,4657.0
2009 Inauguration,1/20/2009,Tue,Landover,Exit,92.0,1037.0,1056.0,446.0,2631.0
2009 Inauguration,1/20/2009,Tue,Largo Town Center,Entry,15832.0,2005.0,154.0,446.0,18437.0
2009 Inauguration,1/20/2009,Tue,Largo Town Center,Exit,274.0,1731.0,588.0,1491.0,4084.0
2009 Inauguration,1/20/2009,Tue,McLean,Entry,,,,,
2009 Inauguration,1/20/2009,Tue,McLean,Exit,,,,,
